flow_m3_day,influent_ph,influent_bod5,influent_cod,influent_tss,effluent_ph,effluent_bod5,effluent_cod,effluent_tss
35023.0,7.9,205.0,588.0,192.0,7.6,20.0,104.0,20.0
36924.0,8.0,242.0,496.0,176.0,7.6,19.0,108.0,22.0
38572.0,7.8,202.0,372.0,186.0,7.5,20.0,100.0,28.0
36107.0,7.7,215.0,489.0,334.0,7.5,17.0,162.0,18.0
29156.0,7.7,206.0,451.0,194.0,7.5,16.0,118.0,19.0
39246.0,7.8,172.0,506.0,200.0,7.6,19.0,157.0,27.0
42393.0,7.9,189.0,478.0,230.0,7.6,152.0,306.0,131.0
42857.0,7.7,238.0,319.0,292.0,7.4,320.0,350.0,238.0
42911.0,7.6,114.0,252.0,116.0,7.5,84.0,172.0,104.0
40376.0,8.1,204.0,333.0,174.0,7.6,32.0,153.0,98.0
40923.0,7.6,146.0,329.0,188.0,7.5,19.0,94.0,41.0
43830.0,7.8,177.0,512.0,214.0,7.6,25.0,203.0,20.0
39165.0,7.4,250.0,447.0,252.0,7.3,14.0,9.0,20.0
35791.0,7.8,277.0,466.0,246.0,7.5,24.0,124.0,26.0
37419.0,7.6,219.0,446.0,222.0,7.5,42.0,175.0,53.0
40983.0,7.6,182.0,431.0,214.0,7.5,23.0,120.0,25.0
42217.0,7.5,138.0,333.0,240.0,7.1,16.0,62.0,17.0
47665.0,7.7,156.0,405.0,200.0,7.6,19.0,71.0,23.0
44314.0,7.8,155.0,389.0,308.0,7.6,15.0,87.0,23.0
40841.0,7.6,179.0,389.0,168.0,7.9,16.0,83.0,20.0
41157.0,8.0,145.0,398.0,192.0,7.8,15.0,87.0,21.0
40078.0,7.9,198.0,464.0,228.0,7.8,17.0,102.0,22.0
43080.0,7.8,95.0,349.0,136.0,7.5,19.0,67.0,24.0
29414.0,7.6,160.0,374.0,168.0,7.4,19.0,79.0,28.0
37312.0,8.1,205.0,492.0,192.0,7.7,32.0,114.0,37.0
38568.0,8.2,233.0,506.0,204.0,7.5,47.0,116.0,59.0
38655.0,7.9,179.0,344.0,172.0,7.5,26.0,97.0,35.0
34193.0,8.0,166.0,396.0,176.0,7.5,26.0,106.0,31.0
36332.0,7.9,120.0,455.0,184.0,7.6,24.0,98.0,32.0
35636.0,8.0,203.0,469.0,264.0,7.5,23.0,97.0,38.0
34746.0,7.7,208.0,427.0,192.0,7.4,27.0,78.0,33.0
37102.0,7.8,196.0,353.0,174.0,7.6,24.0,71.0,24.0
41598.0,8.2,194.0,419.0,186.0,7.6,23.0,71.0,33.0
38058.0,7.8,193.0,424.0,170.0,7.5,24.0,88.0,29.0
40868.0,8.1,206.0,490.0,190.0,7.7,16.0,86.0,26.0
36358.0,7.7,192.0,298.0,162.0,7.5,30.0,98.0,45.0
41230.0,7.6,120.0,344.0,136.0,7.5,16.0,97.0,17.0
37386.0,7.9,165.0,470.0,170.0,7.6,22.0,97.0,18.0
34535.0,7.8,232.0,518.0,220.0,7.5,29.0,146.0,31.0
32527.0,7.8,187.0,460.0,180.0,7.5,28.0,105.0,30.0
27760.0,7.6,199.0,466.0,186.0,7.4,21.0,122.0,25.0
38055.0,7.8,221.0,524.0,188.0,7.5,29.0,136.0,39.0
34064.0,8.1,230.0,535.0,242.0,7.5,28.0,101.0,36.0
31447.0,7.9,190.0,374.0,192.0,7.5,21.0,108.0,22.0
31059.0,7.8,202.0,431.0,200.0,7.4,17.0,63.0,20.0
36470.0,7.8,227.0,526.0,212.0,7.4,30.0,99.0,41.0
47449.0,7.8,170.0,401.0,158.0,7.5,26.0,87.0,27.0
43940.0,7.8,149.0,361.0,186.0,7.5,27.0,103.0,38.0
40347.0,7.7,155.0,338.0,132.0,7.4,22.0,87.0,27.0
40267.0,7.9,180.0,433.0,186.0,7.5,19.0,110.0,26.0
37976.0,7.7,148.0,345.0,162.0,7.4,17.0,60.0,21.0
47368.0,7.9,156.0,417.0,152.0,7.4,29.0,99.0,26.0
48086.0,8.0,247.0,444.0,166.0,7.6,27.0,52.0,29.0
47642.0,7.9,157.0,428.0,204.0,7.5,19.0,73.0,18.0
43174.0,7.7,179.0,420.0,158.0,7.4,23.0,136.0,17.0
39891.0,7.6,178.0,416.0,188.0,7.3,22.0,140.0,20.0
32257.0,7.5,246.0,583.0,504.0,7.3,21.0,75.0,25.0
40498.0,8.1,202.0,476.0,300.0,7.5,27.0,75.0,22.0
40221.0,8.1,177.0,407.0,172.0,7.5,27.0,95.0,26.0
34669.0,7.8,198.0,381.0,216.0,7.7,29.0,91.0,26.0
41824.0,7.8,161.0,281.0,164.0,7.8,14.0,63.0,19.0
51520.0,7.3,156.0,336.0,192.0,7.9,15.0,59.0,19.0
39421.0,7.9,189.0,457.0,1004.0,7.8,19.0,79.0,21.0
36131.0,7.9,215.0,500.0,252.0,7.9,25.0,75.0,23.0
33251.0,7.6,225.0,578.0,256.0,7.6,15.0,151.0,25.0
35789.0,7.4,316.0,533.0,264.0,7.5,39.0,150.0,54.0
40106.0,7.8,238.0,504.0,292.0,8.0,19.0,80.0,20.0
45191.0,8.0,125.0,324.0,362.0,7.9,28.0,128.0,14.0
43308.0,7.9,265.0,330.0,562.0,7.8,24.0,70.0,11.0
37615.0,7.8,199.0,404.0,232.0,7.6,25.0,85.0,19.0
42596.0,7.7,138.0,259.0,456.0,7.6,22.0,59.0,16.0
41948.0,7.7,198.0,396.0,216.0,7.8,23.0,105.0,32.0
36967.0,7.6,202.0,426.0,248.0,7.7,33.0,92.0,23.0
34879.0,7.5,319.0,465.0,214.0,7.7,18.0,104.0,11.0
34365.0,7.6,236.0,444.0,236.0,7.7,24.0,115.0,17.0
34291.0,7.9,192.0,433.0,300.0,7.8,15.0,60.0,12.0
34886.0,7.7,211.0,488.0,268.0,7.7,15.0,63.0,12.0
38731.0,7.5,200.0,402.0,184.0,7.7,17.0,64.0,17.0
44198.0,7.7,257.0,667.0,1016.0,8.0,16.0,56.0,15.0
39003.0,7.8,183.0,456.0,232.0,7.8,19.0,60.0,12.0
34487.0,7.9,183.0,380.0,192.0,8.0,13.0,63.0,15.0
35198.0,7.7,185.0,372.0,164.0,7.9,18.0,78.0,15.0
27617.0,7.6,285.0,436.0,218.0,7.5,26.0,104.0,41.0
37881.0,7.7,257.0,588.0,328.0,7.6,26.0,92.0,44.0
39024.0,7.9,268.0,467.0,224.0,7.7,29.0,148.0,49.0
38990.0,7.8,189.0,357.0,172.0,7.6,30.0,122.0,42.0
37710.0,7.5,312.0,388.0,204.0,7.4,42.0,154.0,69.0
25957.0,8.1,404.0,455.0,448.0,7.8,20.0,83.0,25.0
38623.0,8.1,243.0,299.0,180.0,7.8,26.0,82.0,36.0
