influent_bod5,influent_cod,influent_tss,flow_m3_day,dissolved_oxygen,temperature,hrt_hours,effluent_bod5
280,520,240,1000,2.0,27,8,32
320,610,280,1100,2.2,27,9,28
250,480,210,900,1.8,26,7,38
400,750,350,1300,2.5,28,10,25
350,680,310,1200,2.3,27,9,27
220,430,180,850,1.5,26,6,45
300,560,250,1050,2.1,27,8,31
450,820,390,1400,2.7,28,11,22
380,700,330,1250,2.4,27,10,24
270,510,220,950,1.9,26,7,36
330,630,290,1150,2.2,27,9,29
420,780,360,1350,2.6,28,10,23
240,460,200,880,1.7,26,7,40
310,590,260,1080,2.0,27,8,33
360,670,320,1180,2.3,27,9,26
