feature,importance
bod5_loading,0.5088510972546039
vss_loading,0.1548978816584808
flow_m3_day,0.07658040224549496
influent_tss,0.06468419759452813
influent_vss,0.043414480916876136
influent_sediments,0.02797494519713306
influent_bod5,0.027164999237782445
tss_bod5_ratio,0.016547539560433935
influent_cod,0.01536710396489256
influent_conductivity,0.013155703053186519
cod_bod5_ratio,0.012654072699789137
sed_tss_ratio,0.009768084714468404
influent_zinc,0.008480982159397124
vss_tss_ratio,0.006147733188899489
cod_loading,0.005594550540085069
influent_ph,0.004700066388122579
tss_loading,0.0040161596258257585
