experiment,feature_count,model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
A_raw_only,9,Random Forest,11.942496080194541,7.2172038452114124,16.722546715503448,10.218281721832332,-7.463417929783523,6.73907274915258
A_raw_only,9,Extra Trees,9.019484385192431,4.542659687439802,11.460066402381056,5.950968055655605,-2.7730115969473297,2.43543371207287
A_raw_only,9,Gradient Boosting,6.244449613825969,1.960744143483044,7.424796729237554,2.285140459421221,-0.5601625235110997,0.5763836244515785
A_raw_only,9,Random Forest Tuned,10.748619669818684,6.141690845261525,14.057380439906728,8.330505091404964,-4.916008284401778,4.558283895192259
B_raw_plus_loading,13,Random Forest,11.927939223675867,7.225893860016842,16.07604958687006,9.482696505706954,-6.911472429278054,6.001780605219038
B_raw_plus_loading,13,Extra Trees,8.770207876712329,4.078086004000208,11.14578304260162,5.533328064632963,-2.530012002419497,2.1370199777566747
B_raw_plus_loading,13,Gradient Boosting,6.130386024636549,1.9305784543775208,7.303043308986906,2.2335625113014483,-0.48791049047558477,0.46714657474040283
B_raw_plus_loading,13,Random Forest Tuned,10.645358885484502,5.811371150665026,13.585249318848728,7.476693157992834,-4.518274002747646,3.9570148354553685
C_raw_plus_ratios,13,Random Forest,13.082438652443448,8.670105643319337,18.11302659941269,12.385884586170885,-9.283047637286053,9.271084673629204
C_raw_plus_ratios,13,Extra Trees,9.389161415525113,4.9187003367559505,12.477063545662975,7.303923514424413,-3.447020459685782,3.3677215388695374
C_raw_plus_ratios,13,Gradient Boosting,6.070775804724414,1.8852676188499242,7.179228047778466,2.166228400321433,-0.4478787452729124,0.48519189422264136
C_raw_plus_ratios,13,Random Forest Tuned,11.094168126239257,6.062645623915909,14.761960661809862,8.403592217563535,-5.690296530353637,5.4373067807732465
D_all_features,17,Random Forest,12.885781518462514,8.2299955829382,17.843229491266374,11.805595245220495,-8.870894826854473,8.455644852569002
D_all_features,17,Extra Trees,9.297552397260272,4.884845083345629,12.227928029079063,7.3471250957987495,-3.287700040135968,3.375769023350433
D_all_features,17,Gradient Boosting,6.063548897723043,1.830941342274924,7.19762524972131,2.112948420132675,-0.44951287437646653,0.4471780724643543
D_all_features,17,Random Forest Tuned,11.042981176294266,5.829012558262917,14.491649372435507,7.917656770203963,-5.375293764165022,4.910358041872833
