alarm_budget_percent,alert_count,target_threshold,precision,recall,f1,false_positive_rate,predicted_anomalies
0.5,3,30,1.0,0.08571428571428572,0.15789473684210525,0.0,3
0.5,3,50,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.002008032128514056,3
0.5,3,75,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.002008032128514056,3
1.0,6,30,0.8333333333333334,0.14285714285714285,0.24390243902439024,0.0021321961620469083,6
1.0,6,50,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004016064257028112,6
1.0,6,75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004016064257028112,6
2.0,11,30,0.5454545454545454,0.17142857142857143,0.2608695652173913,0.010660980810234541,11
2.0,11,50,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.012048192771084338,11
2.0,11,75,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.012048192771084338,11
3.0,16,30,0.4375,0.2,0.27450980392156865,0.019189765458422176,16
3.0,16,50,0.375,1.0,0.5454545454545454,0.020080321285140562,16
3.0,16,75,0.375,1.0,0.5454545454545454,0.020080321285140562,16
5.0,26,30,0.3076923076923077,0.22857142857142856,0.26229508196721313,0.03837953091684435,26
5.0,26,50,0.23076923076923078,1.0,0.375,0.040160642570281124,26
5.0,26,75,0.23076923076923078,1.0,0.375,0.040160642570281124,26
