feature_set,detector,target_threshold,anomaly_threshold,observations,actual_events,predicted_anomalies,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1,false_positive_rate,anomaly_rate
process,Robust Z-Score,BOD5 >= 30,3.5,504,35,146,26,120,9,349,0.1780821917808219,0.7428571428571429,0.287292817679558,0.255863539445629,0.2896825396825397
process,Robust Z-Score,BOD5 >= 30,4.0,504,35,119,22,97,13,372,0.18487394957983194,0.6285714285714286,0.2857142857142857,0.2068230277185501,0.2361111111111111
process,Robust Z-Score,BOD5 >= 30,5.0,504,35,79,15,64,20,405,0.189873417721519,0.42857142857142855,0.2631578947368421,0.13646055437100213,0.15674603174603174
process,Isolation Forest 5%,BOD5 >= 30,0.49458680292176066,504,35,26,8,18,27,451,0.3076923076923077,0.22857142857142856,0.26229508196721313,0.03837953091684435,0.051587301587301584
process,Isolation Forest 2%,BOD5 >= 30,0.5451962277742393,504,35,11,6,5,29,464,0.5454545454545454,0.17142857142857143,0.2608695652173913,0.010660980810234541,0.021825396825396824
process,Isolation Forest 10%,BOD5 >= 30,0.4600122974674969,504,35,51,11,40,24,429,0.21568627450980393,0.3142857142857143,0.2558139534883721,0.08528784648187633,0.10119047619047619
process,Isolation Forest 1%,BOD5 >= 30,0.5787008285498013,504,35,6,5,1,30,468,0.8333333333333334,0.14285714285714285,0.24390243902439024,0.0021321961620469083,0.011904761904761904
process,Robust Z-Score,BOD5 >= 30,3.0,504,35,208,29,179,6,290,0.13942307692307693,0.8285714285714286,0.23868312757201646,0.3816631130063966,0.4126984126984127
process,Robust Z-Score,BOD5 >= 30,2.5,504,35,303,34,269,1,200,0.11221122112211221,0.9714285714285714,0.20118343195266272,0.5735607675906184,0.6011904761904762
process,Isolation Forest 1%,BOD5 >= 50,0.5787008285498013,504,6,6,4,2,2,496,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004016064257028112,0.011904761904761904
process,Isolation Forest 2%,BOD5 >= 50,0.5451962277742393,504,6,11,5,6,1,492,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.012048192771084338,0.021825396825396824
process,Isolation Forest 5%,BOD5 >= 50,0.49458680292176066,504,6,26,6,20,0,478,0.23076923076923078,1.0,0.375,0.040160642570281124,0.051587301587301584
process,Isolation Forest 10%,BOD5 >= 50,0.4600122974674969,504,6,51,6,45,0,453,0.11764705882352941,1.0,0.21052631578947367,0.09036144578313253,0.10119047619047619
process,Robust Z-Score,BOD5 >= 50,5.0,504,6,79,6,73,0,425,0.0759493670886076,1.0,0.1411764705882353,0.1465863453815261,0.15674603174603174
process,Robust Z-Score,BOD5 >= 50,4.0,504,6,119,6,113,0,385,0.05042016806722689,1.0,0.096,0.22690763052208834,0.2361111111111111
process,Robust Z-Score,BOD5 >= 50,3.5,504,6,146,6,140,0,358,0.0410958904109589,1.0,0.07894736842105263,0.28112449799196787,0.2896825396825397
process,Robust Z-Score,BOD5 >= 50,3.0,504,6,208,6,202,0,296,0.028846153846153848,1.0,0.056074766355140186,0.40562248995983935,0.4126984126984127
process,Robust Z-Score,BOD5 >= 50,2.5,504,6,303,6,297,0,201,0.019801980198019802,1.0,0.038834951456310676,0.5963855421686747,0.6011904761904762
process,Isolation Forest 1%,BOD5 >= 75,0.5787008285498013,504,6,6,4,2,2,496,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.004016064257028112,0.011904761904761904
process,Isolation Forest 2%,BOD5 >= 75,0.5451962277742393,504,6,11,5,6,1,492,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.012048192771084338,0.021825396825396824
process,Isolation Forest 5%,BOD5 >= 75,0.49458680292176066,504,6,26,6,20,0,478,0.23076923076923078,1.0,0.375,0.040160642570281124,0.051587301587301584
process,Isolation Forest 10%,BOD5 >= 75,0.4600122974674969,504,6,51,6,45,0,453,0.11764705882352941,1.0,0.21052631578947367,0.09036144578313253,0.10119047619047619
process,Robust Z-Score,BOD5 >= 75,5.0,504,6,79,6,73,0,425,0.0759493670886076,1.0,0.1411764705882353,0.1465863453815261,0.15674603174603174
process,Robust Z-Score,BOD5 >= 75,4.0,504,6,119,6,113,0,385,0.05042016806722689,1.0,0.096,0.22690763052208834,0.2361111111111111
process,Robust Z-Score,BOD5 >= 75,3.5,504,6,146,6,140,0,358,0.0410958904109589,1.0,0.07894736842105263,0.28112449799196787,0.2896825396825397
process,Robust Z-Score,BOD5 >= 75,3.0,504,6,208,6,202,0,296,0.028846153846153848,1.0,0.056074766355140186,0.40562248995983935,0.4126984126984127
process,Robust Z-Score,BOD5 >= 75,2.5,504,6,303,6,297,0,201,0.019801980198019802,1.0,0.038834951456310676,0.5963855421686747,0.6011904761904762
