flow_m3_day,influent_ph,influent_bod5,influent_cod,influent_tss,actual_effluent_bod5,predicted_effluent_bod5,absolute_error,error,percentage_error,bod5_range
38568.0,8.2,233.0,506.0,204.0,47.0,22.144429048877843,24.855570951122157,24.855570951122157,52.88419351302587,high_31_50
31191.0,7.9,270.0,321.0,168.0,14.0,36.374703557432376,22.374703557432376,-22.374703557432376,159.81931112451696,low_<=20
36182.0,7.7,195.0,380.0,216.0,37.0,20.47474177527372,16.52525822472628,16.52525822472628,44.66286006682778,high_31_50
46126.0,7.5,122.0,289.0,114.0,12.0,27.775620242573872,15.775620242573872,-15.775620242573872,131.46350202144893,low_<=20
44198.0,7.7,257.0,667.0,1016.0,16.0,31.392845240870223,15.392845240870223,-15.392845240870223,96.20528275543889,low_<=20
34820.0,8.1,185.0,439.0,256.0,33.0,19.113261263717664,13.886738736282336,13.886738736282336,42.08102647358283,high_31_50
45453.0,7.7,203.0,357.0,222.0,9.0,22.112943684904334,13.112943684904334,-13.112943684904334,145.69937427671482,low_<=20
40376.0,8.1,204.0,333.0,174.0,32.0,18.903009503490583,13.096990496509417,13.096990496509417,40.928095301591924,high_31_50
36967.0,7.6,202.0,426.0,248.0,33.0,19.92414601876295,13.07585398123705,13.07585398123705,39.62379994314257,high_31_50
43291.0,7.7,215.0,447.0,164.0,19.0,30.977929873337214,11.977929873337214,-11.977929873337214,63.041736175459015,low_<=20
38761.0,7.5,438.0,681.0,370.0,15.0,25.70477390629785,10.704773906297849,-10.704773906297849,71.36515937531898,low_<=20
29271.0,7.5,99.0,585.0,140.0,25.0,14.636274495362942,10.363725504637058,10.363725504637058,41.45490201854823,moderate_21_30
34746.0,7.7,208.0,427.0,192.0,27.0,17.3503265336901,9.649673466309899,9.649673466309899,35.73953135670333,moderate_21_30
39566.0,7.7,192.0,416.0,236.0,13.0,22.43532609157659,9.435326091576592,-9.435326091576592,72.57943147366609,low_<=20
27933.0,7.6,158.0,375.0,178.0,9.0,17.96240788662057,8.962407886620571,-8.962407886620571,99.58230985133967,low_<=20
28791.0,8.7,354.0,539.0,232.0,14.0,22.640117570158196,8.640117570158196,-8.640117570158196,61.715125501129975,low_<=20
34528.0,7.9,262.0,444.0,324.0,31.0,22.9356667174295,8.064333282570502,8.064333282570502,26.013978330872582,high_31_50
31914.0,7.7,127.0,274.0,144.0,9.0,16.914741281786018,7.914741281786018,-7.914741281786018,87.94156979762242,low_<=20
36708.0,7.8,196.0,403.0,200.0,12.0,19.59406368780729,7.594063687807289,-7.594063687807289,63.28386406506073,low_<=20
44548.0,7.9,218.0,272.0,216.0,16.0,23.20337617927613,7.20337617927613,-7.20337617927613,45.02110112047581,low_<=20
47449.0,7.8,170.0,401.0,158.0,26.0,18.98412270587464,7.01587729412536,7.01587729412536,26.984143438943693,moderate_21_30
33178.0,7.6,155.0,392.0,182.0,12.0,18.821028533000337,6.821028533000337,-6.821028533000337,56.84190444166948,low_<=20
40933.0,7.8,120.0,303.0,290.0,10.0,16.74994891609446,6.749948916094461,-6.749948916094461,67.4994891609446,low_<=20
34879.0,7.5,319.0,465.0,214.0,18.0,24.569431008298476,6.569431008298476,-6.569431008298476,36.49683893499154,low_<=20
34301.0,7.9,243.0,459.0,286.0,15.0,21.187914529186557,6.187914529186557,-6.187914529186557,41.25276352791038,low_<=20
47222.0,8.1,148.0,321.0,142.0,12.0,18.182882249085463,6.182882249085463,-6.182882249085463,51.52401874237885,low_<=20
32888.0,8.1,185.0,401.0,156.0,24.0,17.935305512946226,6.0646944870537745,6.0646944870537745,25.269560362724057,moderate_21_30
30964.0,7.7,220.0,540.0,184.0,16.0,22.019977589117325,6.019977589117325,-6.019977589117325,37.62485993198328,low_<=20
27998.0,7.5,138.0,268.0,154.0,8.0,13.744496106347164,5.744496106347164,-5.744496106347164,71.80620132933954,low_<=20
32308.0,7.7,118.0,295.0,178.0,12.0,17.70915788151235,5.7091578815123505,-5.7091578815123505,47.576315679269584,low_<=20
34064.0,8.1,230.0,535.0,242.0,28.0,22.34717518322497,5.652824816775031,5.652824816775031,20.188660059910823,moderate_21_30
30935.0,8.1,255.0,550.0,214.0,18.0,23.521647824819222,5.5216478248192224,-5.5216478248192224,30.675821248995682,low_<=20
45903.0,8.0,90.0,271.0,144.0,10.0,15.50068594912632,5.50068594912632,-5.50068594912632,55.00685949126319,low_<=20
47032.0,8.2,139.0,294.0,256.0,11.0,16.424507847451732,5.424507847451732,-5.424507847451732,49.313707704106655,low_<=20
34886.0,7.7,211.0,488.0,268.0,15.0,20.39631210860628,5.396312108606281,-5.396312108606281,35.97541405737521,low_<=20
33649.0,7.5,147.0,351.0,230.0,24.0,18.68581066919186,5.314189330808141,5.314189330808141,22.142455545033922,moderate_21_30
49314.0,8.1,166.0,318.0,118.0,15.0,19.986422755920536,4.986422755920536,-4.986422755920536,33.242818372803576,low_<=20
29793.0,7.6,137.0,372.0,170.0,10.0,14.949992463347892,4.949992463347892,-4.949992463347892,49.49992463347891,low_<=20
49174.0,7.9,188.0,434.0,126.0,22.0,26.92428113885049,4.924281138850489,-4.924281138850489,22.38309608568404,moderate_21_30
44040.0,7.9,275.0,330.0,180.0,25.0,20.20299009278297,4.797009907217031,4.797009907217031,19.188039628868125,moderate_21_30
47338.0,8.1,69.0,126.0,138.0,8.0,12.718403235653245,4.718403235653245,-4.718403235653245,58.98004044566556,low_<=20
34291.0,7.9,192.0,433.0,300.0,15.0,19.626414463257227,4.626414463257227,-4.626414463257227,30.842763088381513,low_<=20
32527.0,7.8,187.0,460.0,180.0,28.0,23.40156274870936,4.59843725129064,4.59843725129064,16.422990183180858,moderate_21_30
35178.0,7.7,159.0,396.0,154.0,23.0,18.42336349871781,4.5766365012821915,4.5766365012821915,19.898419570792136,moderate_21_30
47306.0,8.2,206.0,324.0,166.0,12.0,16.3545379339489,4.354537933948901,-4.354537933948901,36.28781611624084,low_<=20
34045.0,8.0,129.0,506.0,178.0,22.0,17.836158906267066,4.163841093732934,4.163841093732934,18.926550426058792,moderate_21_30
27617.0,7.6,285.0,436.0,218.0,26.0,21.83802966441586,4.16197033558414,4.16197033558414,16.007578213785152,moderate_21_30
33090.0,7.9,205.0,453.0,198.0,15.0,19.155426863123267,4.155426863123267,-4.155426863123267,27.702845754155113,low_<=20
32720.0,7.8,235.0,489.0,252.0,27.0,22.901758715347437,4.098241284652563,4.098241284652563,15.17867142463912,moderate_21_30
25342.0,8.3,275.0,494.0,212.0,18.0,22.094919134586554,4.094919134586554,-4.094919134586554,22.74955074770308,low_<=20
29990.0,7.9,204.0,469.0,212.0,18.0,21.874399774173465,3.8743997741734653,-3.8743997741734653,21.524443189852587,low_<=20
42596.0,7.7,138.0,259.0,456.0,22.0,18.12625778810953,3.8737422118904696,3.8737422118904696,17.60791914495668,moderate_21_30
36909.0,7.6,172.0,394.0,226.0,14.0,17.839759499256154,3.8397594992561537,-3.8397594992561537,27.426853566115383,low_<=20
32441.0,8.1,198.0,351.0,134.0,15.0,18.800340167702284,3.8003401677022843,-3.8003401677022843,25.335601118015227,low_<=20
34492.0,7.9,253.0,354.0,162.0,16.0,19.78091588575008,3.7809158857500798,-3.7809158857500798,23.630724285937998,low_<=20
36395.0,7.7,183.0,449.0,380.0,23.0,19.29818089285405,3.701819107145951,3.701819107145951,16.094865683243267,moderate_21_30
39383.0,8.0,216.0,529.0,248.0,23.0,19.400094624686428,3.599905375313572,3.599905375313572,15.651762501363356,moderate_21_30
38731.0,7.5,200.0,402.0,184.0,17.0,20.54132691241164,3.541326912411641,-3.541326912411641,20.831334778892007,low_<=20
38058.0,7.8,193.0,424.0,170.0,24.0,20.49183019069249,3.5081698093075104,3.5081698093075104,14.61737420544796,moderate_21_30
26343.0,7.7,275.0,553.0,528.0,24.0,20.509912704358705,3.4900872956412954,3.4900872956412954,14.542030398505398,moderate_21_30
31789.0,7.9,215.0,549.0,234.0,18.0,21.482152474922344,3.4821524749223443,-3.4821524749223443,19.345291527346355,low_<=20
34904.0,8.0,272.0,665.0,188.0,20.0,23.450889289186406,3.4508892891864065,-3.4508892891864065,17.254446445932032,low_<=20
40841.0,7.6,179.0,389.0,168.0,16.0,19.444814072500048,3.444814072500048,-3.444814072500048,21.5300879531253,low_<=20
44343.0,8.0,169.0,327.0,126.0,15.0,18.33289162212233,3.332891622122329,-3.332891622122329,22.219277480815524,low_<=20
39891.0,7.6,178.0,416.0,188.0,22.0,18.780176240691464,3.219823759308536,3.219823759308536,14.635562542311527,moderate_21_30
40983.0,7.6,182.0,431.0,214.0,23.0,19.830795088498054,3.1692049115019465,3.1692049115019465,13.779151789138897,moderate_21_30
34361.0,8.2,172.0,345.0,152.0,16.0,18.76601549267624,2.766015492676239,-2.766015492676239,17.287596829226494,low_<=20
32802.0,7.3,203.0,405.0,212.0,22.0,19.407920269004773,2.592079730995227,2.592079730995227,11.78218059543285,moderate_21_30
39003.0,7.8,183.0,456.0,232.0,19.0,21.513000885118803,2.513000885118803,-2.513000885118803,13.2263204479937,low_<=20
43080.0,7.8,95.0,349.0,136.0,19.0,16.5034894091778,2.4965105908222007,2.4965105908222007,13.139529425380003,low_<=20
33210.0,7.5,164.0,353.0,218.0,15.0,17.339816970156615,2.3398169701566154,-2.3398169701566154,15.598779801044103,low_<=20
31437.0,7.6,132.0,304.0,148.0,14.0,16.30730557769391,2.30730557769391,-2.30730557769391,16.480754126385072,low_<=20
32190.0,7.3,200.0,545.0,258.0,21.0,18.776613977938386,2.2233860220616144,2.2233860220616144,10.587552486007686,moderate_21_30
43830.0,7.8,177.0,512.0,214.0,25.0,27.11145338628561,2.1114533862856106,-2.1114533862856106,8.445813545142443,moderate_21_30
33680.0,7.6,215.0,532.0,282.0,17.0,19.050321008601745,2.0503210086017454,-2.0503210086017454,12.060711815304384,low_<=20
36452.0,8.2,154.0,310.0,128.0,15.0,16.88819055000694,1.8881905500069394,-1.8881905500069394,12.587937000046262,low_<=20
42859.0,7.8,161.0,326.0,268.0,23.0,21.254982302661084,1.7450176973389162,1.7450176973389162,7.58703346669094,moderate_21_30
55300.0,7.9,254.0,356.0,206.0,18.0,19.724443459353257,1.7244434593532567,-1.7244434593532567,9.580241440851427,low_<=20
47489.0,7.6,135.0,297.0,164.0,20.0,18.30528012954997,1.6947198704500295,1.6947198704500295,8.473599352250147,low_<=20
35861.0,8.1,242.0,492.0,176.0,20.0,21.58283426791753,1.58283426791753,-1.58283426791753,7.91417133958765,low_<=20
32100.0,7.5,277.0,523.0,324.0,21.0,22.54479481004334,1.5447948100433386,-1.5447948100433386,7.356165762111136,moderate_21_30
29815.0,8.0,224.0,400.0,160.0,20.0,18.572046059892,1.4279539401080008,1.4279539401080008,7.139769700540004,low_<=20
35195.0,7.6,134.0,404.0,190.0,17.0,15.580103797842192,1.4198962021578083,1.4198962021578083,8.352330600928285,low_<=20
30244.0,7.6,224.0,337.0,146.0,17.0,18.40433235139885,1.4043323513988497,-1.4043323513988497,8.260778537640293,low_<=20
31224.0,7.8,231.0,473.0,222.0,27.0,25.69837123069551,1.3016287693044895,1.3016287693044895,4.820847293720331,moderate_21_30
32257.0,7.5,246.0,583.0,504.0,21.0,21.98993432202219,0.9899343220221901,-0.9899343220221901,4.71397296201043,moderate_21_30
35023.0,7.9,205.0,588.0,192.0,20.0,19.067991478535937,0.9320085214640628,0.9320085214640628,4.660042607320314,low_<=20
43614.0,7.8,143.0,400.0,472.0,14.0,14.879610434897028,0.8796104348970282,-0.8796104348970282,6.282931677835915,low_<=20
36510.0,7.9,91.0,325.0,122.0,15.0,15.453346164677033,0.4533461646770327,-0.4533461646770327,3.022307764513551,low_<=20
29741.0,7.9,151.0,316.0,196.0,16.0,15.604808273752822,0.39519172624717847,0.39519172624717847,2.4699482890448654,low_<=20
35573.0,7.6,176.0,333.0,178.0,16.0,16.38525057782032,0.3852505778203188,-0.3852505778203188,2.4078161113769925,low_<=20
36421.0,8.2,240.0,507.0,356.0,22.0,21.62570842573454,0.37429157426545956,0.37429157426545956,1.7013253375702708,moderate_21_30
